% Model:              electrostatic.mph
% Version:            COMSOL 5.6.0.401
% Date:               May 4 2022, 19:13
% Table:              Table 1 - System Matrix 1
% Row                    Column                   Value
1                        1                        -7.391298014785363E-12
2                        1                        1.819828324862453E-12
3                        1                        -4.549570812156129E-13
4                        1                        -1.5092041154224992E-12
5                        1                        6.036816461689994E-12
8                        1                        -4.99604808290346E-13
9                        1                        1.9984192331613846E-12
1                        2                        1.819828324862453E-12
2                        2                        -2.1893073739717835E-11
3                        2                        1.8198283248624564E-12
5                        2                        1.2345585982778623E-11
6                        2                        5.907831107214314E-12
1                        3                        -4.549570812156129E-13
2                        3                        1.8198283248624564E-12
3                        3                        -1.617216683847585E-11
4                        3                        -2.809853751952792E-12
6                        3                        1.123941500781116E-11
10                       3                        2.3555558423158348E-12
11                       3                        -5.888889605789586E-13
14                       3                        -1.5370224857445932E-12
15                       3                        6.148089942978374E-12
1                        4                        -1.5092041154224992E-12
3                        4                        -2.809853751952792E-12
4                        4                        -3.2874124205750587E-11
5                        4                        6.0368164616900025E-12
6                        4                        1.1239415007811163E-11
7                        4                        1.1108621510737318E-11
8                        4                        -2.7771553776843303E-12
14                       4                        -1.935145884131412E-12
17                       4                        7.740583536525646E-12
19                       4                        -1.926682272725843E-12
21                       4                        7.706729090903374E-12
1                        5                        6.036816461689994E-12
2                        5                        1.2345585982778623E-11
4                        5                        6.0368164616900025E-12
5                        5                        -4.334491552240713E-11
6                        5                        3.639656649724892E-12
7                        5                        3.9968384663227555E-12
9                        5                        1.128920150020088E-11
2                        6                        5.907831107214314E-12
3                        6                        1.123941500781116E-11
4                        6                        1.1239415007811163E-11
5                        6                        3.639656649724892E-12
6                        6                        -4.2952915236360437E-11
15                       6                        6.557695271393167E-12
17                       6                        4.36890219240575E-12
4                        7                        1.1108621510737318E-11
5                        7                        3.9968384663227555E-12
7                        7                        -4.3031658883128925E-11
8                        7                        1.1108621510737315E-11
9                        7                        6.165801816165641E-12
18                       7                        7.648885584243905E-12
21                       7                        3.002889994922006E-12
1                        8                        -4.99604808290346E-13
4                        8                        -2.7771553776843303E-12
7                        8                        1.1108621510737315E-11
8                        8                        -1.612197563863497E-11
9                        8                        1.9984192331613874E-12
12                       8                        -8.738917660367848E-13
13                       8                        3.49556706414714E-12
18                       8                        4.893359710134149E-12
19                       8                        -1.2233399275335364E-12
1                        9                        1.9984192331613846E-12
5                        9                        1.128920150020088E-11
7                        9                        6.165801816165641E-12
8                        9                        1.9984192331613874E-12
9                        9                        -2.1451841782689285E-11
3                        10                       2.3555558423158348E-12
10                       10                       -2.0711057039804133E-11
11                       10                       2.3555558423158356E-12
15                       10                       8.072667661621514E-12
16                       10                       7.927277693550958E-12
3                        11                       -5.888889605789586E-13
10                       11                       2.3555558423158356E-12
11                       11                       -1.5486731165896348E-11
14                       11                       -2.0058846103583577E-12
16                       11                       8.023538441433427E-12
23                       11                       2.655730641832643E-12
24                       11                       -6.639326604581605E-13
25                       11                       -1.9035374905699802E-12
26                       11                       7.61414996227992E-12
8                        12                       -8.738917660367848E-13
12                       12                       -1.5373710186515396E-11
13                       12                       3.4955670641471397E-12
19                       12                       -1.6568568662264338E-12
20                       12                       6.627427464905736E-12
29                       12                       -7.18141498278173E-13
30                       12                       2.8725659931126925E-12
31                       12                       -1.8756799316304143E-12
33                       12                       7.502719726521656E-12
8                        13                       3.49556706414714E-12
12                       13                       3.4955670641471397E-12
13                       13                       -2.0449764980412988E-11
18                       13                       6.67480142677246E-12
20                       13                       6.783829425346255E-12
